Date Reported,Date Occurred,Time Occurred,Incident Type,Location,Incident/Case#,Summary,Disposition,Timestamp,Price Category,Latitude,Longitude
10-03-2020,10-03-2020,2:39 PM,Petty Theft,Seventh College West Building 3,2010030023,Unknown subject took reporting party's skateboard from laundry room,Service Provided,2020-10-03 14:39:00,Low,32.8874454,-117.2427202
10-07-2020,10-06-2020,Unknown,Petty Theft ‐ Bicycle,La Jolla Del Sol,2020‐1096,Bike officer impounded unsecured bicycle,Unfounded,2020-10-06 00:00:00,Medium,32.8655512,-117.2230338
10-11-2020,03/01/2020 ‐ 10/09/2020,12:00 PM ‐ 1:00 PM,Petty Theft ‐ Bicycle,Center Hall,2020‐1125,"Unknown suspect(s) stole parts from bicycle, Loss $700.00",Online Report,2020-10-09 13:00:00,Expensive,32.8775468,-117.2374084
10/13/2020,10/12/2020 ‐ 10/13/2020,9:30 AM ‐ 8:50 AM,Petty Theft ‐ Bicycle,9906 Scholars Dr North,2020‐1126,"Unknown suspect(s) stole front tire from victims bike, Loss$ 85.00",Online Report,2020-10-13 09:30:00,Low,32.8853045,-117.2425095
10/17/2020,10/17/2020,12:36 PM,Petty Theft ‐ Bicycle,UCSD Police Department,2010170022,"Questsoins regarding theft of bicycle, victim will make report once all needed information is had",Service Provided,2020-10-17 12:36:00,Medium,32.8826508,-117.2296864
10/25/2020,10/25/2020,10:28 AM,Petty Theft,Scholars Dr North,2010250015,Unknown subject stole battery pack from bicycle,Unknwon,2020-10-25 10:28:00,Medium,32.8842874,-117.2424066
11-01-2020,11-01-2020,1:22 AM,Petty Theft ‐ Bicycle,Seventh College West #8,2011010019,Sound of bike locks being broken after 2 males seen near bike racks,Unable To Locate,2020-11-01 01:22:00,Low,,
11-02-2020,11-01-2020,7:45 PM,Theft,Sulpizio Cardiovascular Center,LJ20‐11‐01‐0983,Bicycle stolen from bike rack,Hospital Security Report Taken,2020-11-01 19:45:00,Low,32.8788723,-117.225894
11-07-2020,10/26/2020 ‐ 11/7/2020,10:00 PM‐2:00 PM,Grand Theft ‐ Micro Mobility Device (Motor Vehicle Theft),Meteor Hall,2020‐1206,"Unknown subject took victim's electric bicycle, loss 2,400.00",Report Taken,2020-11-07 22:00:00,Medium,32.8738214,-117.2419498
11/18/2020,11/18/2020,11:56 AM,Petty Theft,Argo Hall,2011180037,Subject possibly cutting bike locks,Unable to Locate,2020-11-18 11:56:00,Low,32.8745162,-117.2416218
11/22/2020,11/22/2020,11:28 AM,Petty Theft - Bicycles,Central Mesa Apts,2011220022,"2 bikes missing from bike cage, will call back if reporting party wants to file theft report",Service Provided,2020-11-22 11:28:00,Low,32.87382780000001,-117.2215649
12/16/2020,12/16/2020,5:30 PM ‐ 9:35 PM,Theft ‐ Bicycle,Price Center Target,T20000271,"Stolen electric bicycle, loss $500.00",Online Report,2020-12-16 21:35:00,Medium,32.8798916,-117.2363115
12/27/2020,12/27/2020,3:22 PM,Petty Theft,One Miramar Street,2020‐1353,"Unknown suspect(s) removed bicycle's handlebars, loss $100.00",Report Taken,2020-12-27 15:22:00,Medium,32.8737372,-117.2268607
1/17/2021,1/17/2021,4:30 PM ‐ 5:30 PM,Petty Theft ‐ Bicycle,La Jolla Del Sol Apartments,2021‐0054,"Bicycle stolen from outside bike rack, loss $230.00",Report Taken,2021-01-17 17:30:00,Medium,32.8655512,-117.2230338
1/29/2021,1/29/2021,1:40 PM ‐ 4:30 PM,Petty Theft,Thurgood Marshall Res Hall,2021‐0095,"Unknown suspect(s) stole victims electric scooter from bike rack, Loss $300.00",Online Report,2021-01-29 16:30:00,Medium,,
02-10-2021,02-09-2021,1:00 PM ‐ 3:00 PM,Petty Theft ‐ Bicycle,Telemedicine Center,2021‐0139,"Stolen bicycle and cable lock, loss $670.00",Report Taken,2021-02-09 15:00:00,Expensive,,
02-11-2021,02-11-2021,1:00 PM ‐ 3:15 PM,Petty Theft,10010 N. Torrey Pines Rd.,T21000025,"Unattended skateboard stolen from bushes, loss $180.00",Report Taken,2021-02-11 15:15:00,Medium,32.8865305,-117.2442547
02-12-2021,02-12-2021,11:47 PM,Petty Theft ‐ Bicycle,Tioga Hall,2021‐0153,"Reporting party heard bike lock being cut, male was seen getting on bike and rode away, Loss $549.00",Report Taken,2021-02-12 23:47:00,Expensive,32.8790439,-117.2433669
2/15/2021,2/15/2021,1:45 PM,Petty Theft ‐ Bicycle Parts,Del Sol Apts,2021‐0164,"Unknown suspect(s) sawed off battery pack from electric bike, Loss $500.00",Online Report,2021-02-15 13:45:00,Medium,,
2/16/2021,2/14/2021 ‐ 2/15/2021,9:30 pm ‐ 9:30 pm,Petty Theft ‐ Bicycle,8212 Regents Rd,T21000029,"Unknown suspect(s) stole bike lights and attempted to steal victims bike, Loss $25.00",Online Report,2021-02-15 21:30:00,Low,32.8655293,-117.2221768
2/17/2021,2/17/2021,4:24 PM,Petty Theft ‐ Bicycle,Warren Mall,2102170045,Male seen taking apart bikes at bike rack,Unable To Locate,2021-02-17 16:24:00,Low,32.881153,-117.2348495
2/18/2021,2/17/2021 ‐ 2/18/2021,6:30 pm ‐ 9:30 am,Petty Theft ‐ Bicycle,La Jolla Del Sol Apts,2021‐0173,"Unknown suspect(s) stole victim's front and rear bike tires, Loss $200.00",Report Taken,2021-02-18 18:30:00,Medium,32.8655512,-117.2230338
2/25/2021,2/25/2021,2:57 PM,Report of Petty Theft,Marshall Apartments,2102250043,"Subject reported bicycle 0stolen, stated was going to make an online report",Service Provided,2021-02-25 14:57:00,Medium,,
2/25/2021,2/25/2021,6:40 PM,Petty Theft,Price Center,2102250054,Subject seen removing bicycle parts from a secured bicycle,Closed by Adult Citation,2021-02-25 18:40:00,Medium,32.8797205,-117.2361952
03-05-2022,03-05-2022,7:00 PM ‐ 8:45 PM,Petty Theft ‐ Micro Mobility Device,Main Gym,T22000104,"Electric bicycle, loss $500.00",Online Report,2022-03-05 20:45:00,Medium,,
3/29/2021,3/28/2021,9:55 pm ‐ 10:10 pm,Petty Theft ‐ Micro Mobility Device,9450 Gilman Dr,T21000049,"Unknown suspect(s) stole secured electric bike, Loss $800.00",Report Taken,2021-03-28 22:10:00,Expensive,32.8728214,-117.2353492
4/13/2021,4/13/2021,10:09 AM,Petty Theft ‐ Bicycle,Central Mesa Apts,2021‐0341,Male suspect seen cutting bike lock and riding away from area,"Closed By Citation, Adult",2021-04-13 10:09:00,Low,32.87382780000001,-117.2215649
05-01-2021,05-01-2021,10:45 AM,Petty Theft,La Jolla Del Sol Apartments,2105010020,Report of bicycle parts tampered with,Service Provided,2021-05-01 10:45:00,Medium,32.8655512,-117.2230338
05-11-2021,05-06-2021,12:00am ‐ 12:05am,Petty Theft ‐ Bicycle,1 Miramar St,2021‐0427,"Bicycle helmet stolen off of bicycle, Loss $53.88",Online Report,2021-05-06 00:05:00,Low,32.8737372,-117.2268607
5/17/2021,5/10/2021 ‐ 5/15/2021,1:05 PM ‐ 2:05 PM,Stolen Vehicle/Petty Theft of Micro Mobility Device,Muir College,T21000069,"Stolen black electric bicycle, loss $1,000.00",Online Report,2021-05-15 14:05:00,Medium,32.8809823,-117.2424177
5/26/2021,5/26/2021,4:30 PM ‐ 10:00 PM,Stolen Vehicle/Micro Mobility Device Theft,NTPLL ‐ Parking,2021‐0494,"Stolen electric scooter, loss $700.00",Report Taken,2021-05-26 22:00:00,Expensive,,
07-07-2021,07-07-2021,2:47 AM,Petty Theft,NTPLL ‐ Tapestry,2107070007,Unknown subject seen using electric tool to steal bike from bike rack,Unable To Locate,2021-07-07 02:47:00,Low,32.8799203,-117.2429952
07-08-2021,07-07-2021,12:21 PM,Petty Theft ‐ Bicycle,La Jolla del Sol,2021‐0621,"Bicycle's rear wheel was removed, loss $300.00",Online Report,2021-07-07 12:21:00,Medium,32.8655512,-117.2230338
7/14/2021,7/14/2021,9:00 PM ‐ 10:00 PM,Stolen Vehicle ‐ Theft Of Micro Mobility Device,Discovery Hall,T21000089,"Stolen electric scooter, loss $500.00",Online Report,2021-07-14 22:00:00,Medium,32.8740494,-117.2419356
7/18/2021,7/7/2021 ‐ 7/18/2021,9:00 PM ‐4:30 PM,Stolen Vehicle / Grand Theft: Micro Mobility Device,NTPLL ‐ Kaleidoscope,2021‐0646,"Electric bicycle stolen from bike rack, loss $2,320.84",Report Taken,2021-07-18 21:00:00,Medium,32.8806688,-117.2430773
7/21/2021,7/21/2021,11:14 AM,Petty Theft ‐ Bicycle,Stein Clinical Research Bldg,2107210025,Unknown male seen cutting bike lock and riding away from area,Unable To Locate,2021-07-21 11:14:00,Low,32.8968497,-117.2424287
7/25/2021,7/25/2021,12:36 AM,Petty Theft ‐ Bicycle/Vandalism,Mesa Nueva ‐ Arena,2021‐0673,"Unknown suspect stole bicycle from bike rack, loss $289.99",Report Taken,2021-07-25 00:36:00,Medium,32.8747057,-117.2228857
09-09-2021,09-08-2021,8:00 AM,Theft,Moores Cancer Center,LJ21‐09‐08‐0521,Stolen bicycle,Hospital Security Report Taken,2021-09-08 08:00:00,Medium,32.8786467,-117.2230577
9/18/2021,9/18/2021,5:20 PM ‐ 6:15 PM,Petty Theft ‐ Bicycle,Osler Parking Structure,2021‐0847,Male seen removing bike tires from various bikes,Closed By Adult Arrest ‐ Citation Issued,2021-09-18 18:15:00,Low,32.8739818,-117.2373189
9/22/2021,9/11/2021 ‐ 9/22/2021,4:50 PM ‐ 2:50 PM,Petty Theft,UCSD Medical Facility ‐ Hillcrest Parking Lot,T21000110,"Stolen bike rack from vehicle, loss $100.00",Online Report,2021-09-22 16:50:00,Medium,,
10-01-2021,10-01-2021,900 AM ‐ 10:30 AM,Petty Theft,Peterson Hall,2110010040,"Unknown suspect stole parts from bicycle, requesting phone call from Bike Enforcement Officer",Information Only,2021-10-01 10:30:00,Medium,32.8799725,-117.2403292
10-04-2021,9/19/2021 ‐ 9/20/2021,9:00 PM ‐ 10:00 AM,Petty Theft ‐ Micro Mobility Device,La Jolla Del Sol Apartments,2021‐0956,"Report of stolen electric bicycle from carport, loss $900.00",Report Taken,2021-09-20 21:00:00,Expensive,32.8655512,-117.2230338
10-09-2021,10-09-2021,8:10 AM,Petty Theft,Seventh College,2110090012,Stolen bicycle,Disposition Unfounded,2021-10-09 08:10:00,Medium,32.8879708,-117.2421264
10/20/2021,10/19/2021 ‐ 10/20/2021,9:30 PM ‐ 5:30 PM,Petty Theft,Warren Apartments,2021‐1067,"Unknown suspect(s) stole a bicycle battery pack, loss $540.00",Report Taken,2021-10-20 21:30:00,Expensive,32.8822443,-117.2341198
10/20/2021,10/19/2021 ‐ 10/20/2021,5:00 PM ‐ 7:40 AM,Petty Theft of Micro Mobility Device,Canyon Vista,2021‐1072,"Electric scooter, loss $450.00",Report Taken,2021-10-20 17:00:00,Medium,,
10/20/2021,10/14/2021 ‐ 10/15/2021,5:00 PM ‐ 8:00 AM,Petty Theft,Marshall College,T21000137,"Stolen scooter, loss $30.00",Online Report,2021-10-15 17:00:00,Low,32.8831443,-117.2431716
11-01-2021,11-01-2021,10:17 PM,Theft of Bicycle or Bicycle Part,Computer Sciences and Engineering Building,2021‐1156,"Unknown suspect(s) removed two lights from bicycle, loss $20.00",Report Taken,2021-11-01 22:17:00,Low,,
11-02-2021,10/27/21 ‐ 10/28/21,9:00 PM ‐ 8:00 AM,Grand Theft of Micro Mobility Device,La Jolla Del Sol Apts,2021‐1160,"Electric bicycle, Loss $1,600.00",Report Taken,2021-10-28 21:00:00,Medium,32.8655512,-117.2230338
11-03-2021,11-03-2021,2:00 AM ‐ 10:30 AM,Petty Theft of Micro Mobility Device,Sixth College Apts,2021‐1165,"Electric scooter, Loss $460.00",Report Taken,2021-11-03 10:30:00,Medium,32.8807011,-117.2420455
11-04-2021,11/3/2021 ‐ 11/4/2021,8:30 PM ‐ 5:30 PM,Theft ‐ Micro Mobility Device,Canyon Vista,2021‐1182,"Electric scooter, loss $400.00",Online Report,2021-11-04 20:30:00,Medium,,
11-08-2021,11-08-2021,7:00 pm ‐ 8:00 pm,Petty Theft Of Micro Mobility Device,Sequoyah Hall,2021‐1204,"Stolen electric scooter, loss $500.00",Online Report,2021-11-08 20:00:00,Medium,32.8821398,-117.2405491
11-08-2021,11-08-2021,8:00 PM ‐ 8:30 PM,Petty Theft Of Micro Mobility Device,Sixth College / Blue Bowl Restaurant,T21000156,"Stolen electric scooter, loss $450.00",Online Report,2021-11-08 20:30:00,Medium,32.8807011,-117.2420455
11-08-2021,11-08-2021,8:00 PM ‐ 8:50 PM,Petty Theft Of Micro Mobility Device,Applied Physics And Math Bldg,T21000155,"Stolen electric scooter, loss $800.00",Online Report,2021-11-08 20:50:00,Expensive,32.8795424,-117.2411535
11-09-2021,11/8/2021 ‐ 11/9/2021,11:15 pm ‐ 11:30 pm,Petty Theft Of Micro Mobility Device,Geisel Library,2021‐1205,"Electric bicycle, Loss $450.00",Report Taken,2021-11-09 23:30:00,Medium,32.881092,-117.2375659
11-10-2021,11/09/2021 ‐ 11/10/2021,9:10 pm ‐ 3:50 pm,Theft Of Micro Mobility Device,Marshall Uppers Apts G,2021‐1218,"Electric Scooter, Loss $268.00",Online Report,2021-11-10 21:10:00,Medium,32.8833158,-117.2417072
11/14/2021,11/14/2021,12:00 AM ‐ 7:00 AM,Petty Theft,Gilman Dr,2021‐1233,"Stolen electric scooter, loss $360.00",Online Report,2021-11-14 07:00:00,Medium,32.8648237,-117.2364128
11/15/2021,11/15/2021,4:50 PM ‐ 10:30 PM,Grand Theft Of Micro Mobility Device,Social Sciences Research Building,2021‐1237,"Unknown suspect(s) stole victim's electric scooter, loss $950.00",Report Taken,2021-11-15 22:30:00,Expensive,32.8807041,-117.2400766
11/16/2021,11/14/2021 ‐ 11/16/2021,2:00 PM ‐ 7:30 PM,Grand Theft Of Micro Mobility,Price Center,T21000165,"Stolen electric scooter, loss $949.99",Online Report,2021-11-16 19:30:00,Expensive,32.8797205,-117.2361952
11/17/2021,11/17/2021,11:25 AM,Petty Theft Of Micro Mobility Device,7th College,2021‐1246,"Stolen electric scooter, loss $800.00",Report Taken,2021-11-17 11:25:00,Expensive,,
11/19/2021,11/19/2021,10:32 AM,Petty Theft,South Mesa Apartments,2021‐1258,"Stolen bicycle lights, loss $40.00",Report Taken,2021-11-19 10:32:00,Low,,
11/21/2021,11/21/2021,1:00 PM ‐ 8:00 PM,Petty Theft,Voigt Dr/ Matthew Ln,2021‐1268,"Stolen bicycle, loss $120.00",Report Taken,2021-11-21 20:00:00,Medium,32.8811362,-117.2295642
11/28/2021,11/27/2021 ‐ 11/28/2021,8:00PM ‐ 9:00 AM,Grand Theft Of Micro Mobility Device,Seventh College West Building 3,2021‐1308,"Stolen electric scooter, loss $1000.00",Report Taken,2021-11-28 20:00:00,Expensive,32.8874454,-117.2427202
11/28/2021,11/19/2021 ‐ 11/28/2021,10:05 PM ‐ 10:05 PM,Petty Theft ‐ Micro Mobility Device,Price Center ‐ Triton Statue,2021‐1320,"Electric scooter stolen, loss $550.00",Online Report,2021-11-28 22:05:00,Expensive,32.8797205,-117.2361952
11/30/2021,11/30/2021,4:10 pm ‐ 4:50 pm,Petty Theft ‐ Micro Mobility Device,Library Walk,2021‐1338,"Unknown suspect(s) stole electric scooter from bike rack, Loss $318.20",Report Taken,2021-11-30 16:50:00,Medium,32.8787741,-117.2375612
11/30/2021,11/30/2021,3:40 pm ‐ 7:30pm,Petty Theft ‐ Micro Mobility Device,Library Walk,2021‐1342,"Unknown suspect(s) stole electric scooter from bike rack, Loss $800.00",Online Report,2021-11-30 19:30:00,Expensive,32.8787741,-117.2375612
12-03-2021,12-03-2021,12:30 AM 0 11:45 AM,Petty Theft Of Micro Mobility Device,Douglas Hall,2021‐1372,"Stolen electric scooter, loss $500.00",Online Report,2021-12-03 00:00:00,Medium,32.8832565,-117.232967
12-04-2021,12-03-2021,11:15 AM ‐ 9:00 PM,Petty Theft Micro Mobility Device,Central Campus Trolley Station,2021‐1385,"Loss $300.00, Electric Scooter",Online Report,2021-12-03 21:00:00,Medium,,
12-04-2021,12-04-2021,11:00 am ‐ 3:35pm,Petty Theft Micro Mobility Device,Central Campus Trolley Station,2021‐1373,"Electric scooter, loss $600.00",Report Taken,2021-12-04 15:35:00,Expensive,,
