Date Reported,Date Occurred,Time Occurred,Incident Type,Location,Incident/Case#,Summary,Disposition
7/21/2021,7/21/2021,11:14 AM,Petty Theft ‐ Bicycle,Stein Clinical Research Bldg,2107210025,Unknown male seen cutting bike lock and riding away from area,Unable To Locate
7/25/2021,7/25/2021,12:36 AM,Petty Theft ‐ Bicycle/Vandalism,Mesa Nueva ‐ Arena,2021‐0673,"Unknown suspect stole bicycle from bike rack, loss $289.99",Report Taken
9/9/2021,9/8/2021,8:00 AM,Theft,Moores Cancer Center,LJ21‐09‐08‐0521,Stolen bicycle,Hospital Security Report Taken
9/18/2021,9/18/2021,5:20 PM ‐ 6:15 PM,Petty Theft ‐ Bicycle,Osler Parking Structure,2021‐0847,Male seen removing bike tires from various bikes,Closed By Adult Arrest ‐ Citation Issued
9/22/2021,9/11/2021 ‐ 9/22/2021,4:50 PM ‐ 2:50 PM,Petty Theft,UCSD Medical Facility ‐ Hillcrest Parking Lot,T21000110,"Stolen bike rack from vehicle, loss $100.00",Online Report
10/1/2021,10/1/2021,900 AM ‐ 10:30 AM,Petty Theft,Peterson Hall,2110010040,"Unknown suspect stole parts from bicycle, requesting phone call from Bike Enforcement Officer",Information Only
10/4/2021,9/19/2021 ‐ 9/20/2021,9:00 PM ‐ 10:00 AM,Petty Theft ‐ Micro Mobility Device,La Jolla Del Sol Apartments,2021‐0956,"Report of stolen electric bicycle from carport, loss $900.00",Report Taken
10/9/2021,10/9/2021,8:10 AM,Petty Theft,Seventh College,2110090012,Stolen bicycle,Disposition Unfounded
10/20/2021,10/19/2021 ‐ 10/20/2021,9:30 PM ‐ 5:30 PM,Petty Theft,Warren Apartments,2021‐1067,"Unknown suspect(s) stole a bicycle battery pack, loss $540.00",Report Taken
10/20/2021,10/19/2021 ‐ 10/20/2021,5:00 PM ‐ 7:40 AM,Petty Theft of Micro Mobility Device,Canyon Vista,2021‐1072,"Electric scooter, loss $450.00",Report Taken
10/20/2021,10/14/2021 ‐ 10/15/2021,5:00 PM ‐ 8:00 AM,Petty Theft,Marshall College,T21000137,"Stolen scooter, loss $30.00",Online Report
11/1/2021,11/1/2021,10:17 PM,Theft of Bicycle or Bicycle Part,Computer Sciences and Engineering Building,2021‐1156,"Unknown suspect(s) removed two lights from bicycle, loss $20.00",Report Taken
11/2/2021,10/27/21 ‐ 10/28/21,9:00 PM ‐ 8:00 AM,Grand Theft of Micro Mobility Device,La Jolla Del Sol Apts,2021‐1160,"Electric bicycle, Loss $1,600.00",Report Taken
11/3/2021,11/3/2021,2:00 AM ‐ 10:30 AM,Petty Theft of Micro Mobility Device,Sixth College Apts,2021‐1165,"Electric scooter, Loss $460.00",Report Taken
11/4/2021,11/3/2021 ‐ 11/4/2021,8:30 PM ‐ 5:30 PM,Theft ‐ Micro Mobility Device,Canyon Vista,2021‐1182,"Electric scooter, loss $400.00",Online Report
11/8/2021,11/8/2021,7:00 pm ‐ 8:00 pm,Petty Theft Of Micro Mobility Device,Sequoyah Hall,2021‐1204,"Stolen electric scooter, loss $500.00",Online Report
11/8/2021,11/8/2021,8:00 PM ‐ 8:30 PM,Petty Theft Of Micro Mobility Device,Sixth College / Blue Bowl Restaurant,T21000156,"Stolen electric scooter, loss $450.00",Online Report
11/8/2021,11/8/2021,8:00 PM ‐ 8:50 PM,Petty Theft Of Micro Mobility Device,Applied Physics And Math Bldg,T21000155,"Stolen electric scooter, loss $800.00",Online Report
11/9/2021,11/8/2021 ‐ 11/9/2021,11:15 pm ‐ 11:30 pm,Petty Theft Of Micro Mobility Device,Geisel Library,2021‐1205,"Electric bicycle, Loss $450.00",Report Taken
11/10/2021,11/09/2021 ‐ 11/10/2021,9:10 pm ‐ 3:50 pm,Theft Of Micro Mobility Device,Marshall Uppers Apts G,2021‐1218,"Electric Scooter, Loss $268.00",Online Report
11/14/2021,11/14/2021,12:00 AM ‐ 7:00 AM,Petty Theft,Gilman Dr,2021‐1233,"Stolen electric scooter, loss $360.00",Online Report
11/15/2021,11/15/2021,4:50 PM ‐ 10:30 PM,Grand Theft Of Micro Mobility Device,Social Sciences Research Building,2021‐1237,"Unknown suspect(s) stole victim's electric scooter, loss $950.00",Report Taken
11/16/2021,11/14/2021 ‐ 11/16/2021,2:00 PM ‐ 7:30 PM,Grand Theft Of Micro Mobility,Price Center,T21000165,"Stolen electric scooter, loss $949.99",Online Report
11/17/2021,11/17/2021,11:25 AM,Petty Theft Of Micro Mobility Device,7th College,2021‐1246,"Stolen electric scooter, loss $800.00",Report Taken
11/19/2021,11/19/2021,10:32 AM,Petty Theft,South Mesa Apartments,2021‐1258,"Stolen bicycle lights, loss $40.00",Report Taken
11/21/2021,11/21/2021,1:00 PM ‐ 8:00 PM,Petty Theft,Voigt Dr/ Matthew Ln,2021‐1268,"Stolen bicycle, loss $120.00",Report Taken
11/28/2021,11/27/2021 ‐ 11/28/2021,8:00PM ‐ 9:00 AM,Grand Theft Of Micro Mobility Device,Seventh College West Building 3,2021‐1308,"Stolen electric scooter, loss $1000.00",Report Taken
11/28/2021,11/19/2021 ‐ 11/28/2021,10:05 PM ‐ 10:05 PM,Petty Theft ‐ Micro Mobility Device,Price Center ‐ Triton Statue,2021‐1320,"Electric scooter stolen, loss $550.00",Online Report
11/30/2021,11/30/2021,4:10 pm ‐ 4:50 pm,Petty Theft ‐ Micro Mobility Device,Library Walk,2021‐1338,"Unknown suspect(s) stole electric scooter from bike rack, Loss $318.20",Report Taken
11/30/2021,11/30/2021,3:40 pm ‐ 7:30pm,Petty Theft ‐ Micro Mobility Device,Library Walk,2021‐1342,"Unknown suspect(s) stole electric scooter from bike rack, Loss $800.00",Online Report
12/3/2021,12/3/2021,12:30 AM 0 11:45 AM,Petty Theft Of Micro Mobility Device,Douglas Hall,2021‐1372,"Stolen electric scooter, loss $500.00",Online Report
12/4/2021,12/3/2021,11:15 AM ‐ 9:00 PM,Petty Theft Micro Mobility Device,Central Campus Trolley Station,2021‐1385,"Loss $300.00, Electric Scooter",Online Report
12/4/2021,12/4/2021,11:00 am ‐ 3:35pm,Petty Theft Micro Mobility Device,Central Campus Trolley Station,2021‐1373,"Electric scooter, loss $600.00",Report Taken
12/4/2021,12/4/2021,1:15 PM ‐ 3:45 PM,Petty Theft Micro Mobility Device,Central Campus Trolley Station,2021‐1374,"Electric scooter, loss $600.00",Report Taken
12/6/2021,12/5/2021,7:05 PM ‐ 7:20 PM,Petty Theft Of Micro Mobility Device,Scholars Dr North,2021‐1390,"Stolen electric scooter, loss $350.00",Report Taken
12/7/2021,12/7/2021,2:40 AM ‐ 3:30 AM,Petty Theft Of Micro Mobility Theft,Seventh College West,2021‐1397,"Stolen electric scooter, loss $400.00",Report Taken
12/9/2021,12/9/2021,8:00 AM ‐ 11:30 AM,Petty Theft of Micro Mobility Device,Warren Lecture Hall,2021‐1422,"Stolen electric bicycle, loss $900.00",Report Taken
12/9/2021,12/9/2021,6:30 PM ‐ 9:00 PM,Petty Theft of Micro mobility Device,RIMAC,2021‐1425,"Stolen electric scooter, loss $800.00",Report Taken
12/10/2021,12/9/2021 ‐12/10/2021,7:00 PM ‐ 12:30 PM,Petty Theft Micro Mobility Device,Seventh College East #1,2021‐1429,"Electric bicycle, loss $765.00",Report Taken
12/10/2021,12/10/2021,8:15 PM,Petty Theft Micro Mobility Device,Tenaya Hall Residence,T21000215,"Electric scooter, loss $948.00",Online Report
12/12/2021,12/12/2021,9:00 PM,Petty Theft,Tapestry,2112120058,Subject taking bicycle part,Unable to Locate
12/18/2021,12/18/2021,10:25 pm ‐ 10:45 pm,Attempt Petty Theft ‐ Bicycle,Seventh College West #2,2021‐1486,Reporting party observed unknown male cutting bike lock,Cleared By Adult Arrest ‐ Citation Issued
12/19/2021,12/19/2021,12:07 AM,Petty Theft ‐ Bicycle,Seventh College West #2,2021‐1487,"Suspect arrested, after officers received report of possible bike theft in progress, loss/recovery $400.00",Closed By Adult Arrest
12/22/2021,12/22/2021,9:25 PM,Petty Theft ‐ Bicycle,One Miramar St,T21000227,"Unknown suspect(s) entered locked bike room, stole victim's bicycle seat, no signs of forced entry, Loss $100.00",Online Report
12/28/2021,12/19/2021 ‐ 12/28/2021,12:01 AM ‐ 5:17 PM,Petty Theft Of Micro Mobility Device,Mesa Nueva ‐ Cresta,2021‐1521,"Unknown suspect(s) used unknown tool to cut through bike locks and stole two e‐bikes, loss $660.00",Report Taken
1/1/2022,12/12/2021 ‐ 12/31/2021,12:00 PM ‐ 6:00 AM,Petty Theft,Scholars Dr North,2022‐0001,"Unknown suspect(s) stole bicycle accessory bag, loss $50.00",Disposition Report Taken
1/5/2022,1/4/2022 ‐ 1/5/2022,10:30 pm ‐ 8:00 pm,Petty Theft Micro Mobility Device,Challenger Hall,2022‐0033,"Electric scooter, Loss $650.00",Report Taken
1/6/2022,1/5/2022,8:00 am ‐ 11:30 am,Grand Theft Micro Mobility Device,One Miramar St Bldg 3,2022‐0036,"Electric Bicycle, Loss $1,500.00",Report Taken
1/10/2022,1/6/2022 ‐ 1/8/2022,12:00 AM ‐ 10:00 PM,Grand Theft: Micro Mobility Device,Seventh College West,2022‐0050,"Electric bicycle stolen from bike rack, loss $2,200, damage $141.00",Report Taken
1/13/2022,1/13/2022,1:05 PM,Petty Theft ‐ Bicycle,Price Center,2022‐0069,"Subject stole reporting party's bicycle that was later recovered, consumable goods were missing, loss $8.00",Report Taken
1/16/2022,1/16/2022,5:30 PM ‐ 10:00 PM,Petty Theft of Micro Mobility Device,Marshall Lowers,2022‐0085,"Electric Scooter stolen from bike rack, loss $625.00",Report Taken
1/18/2022,1/18/2022,10:00 AM ‐ 12:45 PM,Petty Theft ‐ Micro Mobility Device,Structural And Material Engineering Bldg,2022‐0095,"Electric Scooter, Loss $830.00",Report Taken
1/18/2022,1/16/2022 ‐ 1/18/2022,6:00 PM ‐ 11:00 PM,Grand Theft ‐ Bicycle,Thurgood Marshall Res Hall,2022‐0098,"Electric bicycle, loss $1,394.00",Online Report
1/20/2022,1/19/2022 ‐ 1/20/2022,8:00 PM ‐ 8:40 AM,Petty Theft Micro Mobility Device,Asante Hall Bike Rack,2022‐0109,"Electric scooter, Loss $400.00",Report Taken
1/20/2022,1/18/2022 ‐ 1/20/2022,2:00 pm ‐ 4:30 pm,Petty Theft ‐ Micro Mobility Device,Canyon Vista Admin,2022‐0110,"Electric scooter, Loss $400.00, damaged lock $15.00",Report Taken
1/21/2022,1/20/2021 ‐ 1/21/2022,12:00 AM ‐ 5:10 PM,Petty Theft ‐ Micro Mobility Device,Gilman Dr,2022‐0124,"Electric scooter, loss $280.00",Online Report
1/21/2022,1/21/2022,5:40 PM ‐ 9:00 PM,Petty Theft ‐ Micro Mobility Device,UCSD Central Campus Trolley Station,2021‐0129,"Electric scooter, loss $549.00",Online Report
1/22/2022,1/13/2022 ‐ 1/14/2022,12:00 pm ‐ 4:00 pm,Petty Theft ‐ Micro Mobility Device,Sanford Consortium Parking Lot,2022‐0132,"Electric bicycle, Loss $730.00",Online Report
1/22/2022,1/22/2022,3:00 pm ‐ 5:39 pm,Petty Theft ‐ Micro Mobility Device,Geisel Library Bike Rack,2022‐0127,"Electric scooter, Loss $400.00",Report Taken
1/27/2022,1/27/2022,8:00 PM,Burglary / Petty Theft of Micro Mobility Device,Marshall Lower Apartments,2022‐0166,"Unknown subject entered unlock entrance and stole multiple items including an electric scooter, Loss $2,291.00",Report Taken
1/31/2022,1/30/2022,11:30 am ‐ 4:00 pm,Petty Theft ‐ Micro Mobility Device,Geisel Library,T22000050,"Electric scooter, Loss $708.00",Online Report
1/31/2022,1/31/2022,7:25 PM,Grand Theft Micro Mobility Device,Eleanor Roosevelt College,2022‐0188,"Electric bicycle, Loss $1,500.00",Online Report
10/1/2022,10/1/2022,8:26 AM,Grand Theft/ Vandalism,Thornton Pavilion,2022‐1665,"Secured bicycle stolen, loss $1,520.00",Report Taken
10/1/2022,10/1/2022,3:15 PM ‐ 5:30 PM,Petty Theft of Micro Mobility Device,Price Center,2022‐1669,"Stolen electric scooter, loss $700.00",Report Taken
10/2/2022,10/2/2022,6:40 AM,Petty Theft ‐ Bicycle,Sixth College Lobby ‐ Bike Racks,2022‐1724,"Secured bicycle stolen, loss $140.00",Online Report
10/2/2022,10/2/2022,10:00 am ‐ 7:20 pm,Petty Theft ‐ Micro Mobility Device,Price Center West,2022‐1680,"Electric scooter, loss $360.00",Report Taken
10/3/2022,10/3/2022,5:24 AM,Petty Theft,Campus Services Complex A,2022‐1685,Male seen stealing an electric scooter,Disposition Stay Away Order Issued
10/3/2022,9/26/2022 ‐ 10/3/2022,4:30 PM ‐ 8:00 AM,Petty Theft ‐ Bicycle,Nuevo East,2022‐1687,"Secured bicycle stolen, loss $300.00",Report Taken
